Race,RaceDate,RaceTime,Racecourse,RaceDistance,Jockey,Trainer,Horse,FinishingPosition,DistanceBeaten,TimeBeaten
"THE UNIBET SUPPORTS SAFE GAMBLING ""HANDS AND HEELS"" APPRENTICEHANDICAP STAKES (CLASS 5)(Part of Racing Excellence)",5/29/2024,1742,Kempton Park,1760,Sean Levey,Eve Johnson Houghton,Uncle Dick (GB),6,2.6,0.47
THE FIND MORE BIG DEALS AT BETUK HANDICAP STAKES (CLASS 6) (DIV I),1/11/2024,1515,Southwell,3101,Billy Loughnane,B F Brookhouse,Central City (IRE),6,5.75,0.88
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Hollie Doyle,Kevin Philippart de Foy,Lift Lady (IRE),6,3.25,0.49
THE EVERY RACE LIVE ON RACING TV HANDICAP STAKES (CLASS 6),7/18/2024,1450,Hamilton Park,1326,Paul Mulrennan,Jim Goldie,Global Humor (USA),6,5.75,1.1
THE GET RACEDAY READY MAIDEN STAKES (CLASS 4) (GBB RACE),10/10/2024,1830,Southwell,1554,James Doyle,Kevin Frost,Howay Never (IRE),7,10,1.68
"THE UNIBET SUPPORTS SAFE GAMBLING ""HANDS AND HEELS"" APPRENTICEHANDICAP STAKES (CLASS 5)(Part of Racing Excellence)",5/29/2024,1742,Kempton Park,1760,Laura Coughlan,George Scott,Cariad (GB),7,4.35,0.74
THE FIND MORE BIG DEALS AT BETUK HANDICAP STAKES (CLASS 6) (DIV I),1/11/2024,1515,Southwell,3101,Jack Mitchell,Jonathan Portman,Pacific (GB),7,9.75,1.57
"THE TATTERSALLS #40,000 EBF NOVICE STAKES (CLASS 2) (GBB RACE)",5/5/2024,1650,Newmarket,1100,Tom Marquand,William Haggas,Yaroogh (IRE),7,16.5,2.79
THE GO RACING IN YORKSHIRE FUTURE STARS APPRENTICE HANDICAPSTAKES (CLASS 5),10/19/2024,1330,Catterick Bridge,3052,Tom Kiely-Marshall,Charlie Johnston,Normandy Vista (IRE),7,18.02,3.72
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Marco Ghiani,Jane Chapple-Hyam,Adelaide Bay (GB),7,3.27,0.49
THE WEATHERBYS STALLION BOOK HANDICAP STAKES (CLASS 6),8/17/2024,1912,Bath,1260,William Carson,John Gallagher,Secret Handsheikh (GB),7,4.65,0.8
THE EDINBURGH GIN JUMP JOCKEYS CHALLENGE HANDICAP STAKES (CLASS4)(to be ridden by professional jump jockeys) (DIV I),9/14/2024,1715,Chester,2703,Jonjo O'Neill Jr.,Tony Carroll,Oman (IRE),7,10.5,1.98
THE EVERY RACE LIVE ON RACING TV HANDICAP STAKES (CLASS 6),7/18/2024,1450,Hamilton Park,1326,Oisin Orr,Cian Collins,Empress of Bough (IRE),7,7,1.29
THE WEATHERBYS STALLION BOOK HANDICAP STAKES (CLASS 6),8/17/2024,1912,Bath,1260,Alistair Rawlinson,Tony Carroll,Second Collection (GB),8,6.65,1.13
THE GO RACING IN YORKSHIRE FUTURE STARS APPRENTICE HANDICAPSTAKES (CLASS 5),10/19/2024,1330,Catterick Bridge,3052,Morgan Cole,Tim Easterby,Dark Jedi (IRE),8,21.27,4.36
THE GET RACEDAY READY MAIDEN STAKES (CLASS 4) (GBB RACE),10/10/2024,1830,Southwell,1554,Joanna Mason,Derek Shaw,Prince Elliot (GB),8,12.5,2.09
